,POI,hash_raw_address
5985,ocbc nisp f1 cikini,ocbc nisp f1 cik cik raya menteng
5990,wartel ria,warung ria ban belajar tan padang barat
6030,apotek ben mari,apotek bensin mari k s tubun notaris 24 52124
6050,toko delima motor,toko del motor tandun
6061,tpa masjid al-ihsan bk,tpa masjid al i bk dumai timur
6063,"notaris hardiyanti hoesodo, sh",notaris hardiyanti hoesodo sh riau payung sekaki
6073,bokormas wahana makmur pt,boko wahana makmur pt palataran 1 melawai kebayoran baru
6095,masjid al ma'ali,masjid al ma ali rowokele 5b wonogiri sari ngaliyan
6118,andirais toko,andi toko perum bkd 3 tambang
6147,alfamrt m608 bata batu,alfamart m608 batagor batu batu permata 
6151,dessy maulida. dr,dessy maulana dr pondok aren 2 pondok betung pondok aren
6153,mts ma'arif nu 01 sidareja,mts ma a nu 01 sida sidareja
6154,tri sandira kurnia sakti pt,tri sandang kurnia sakti pt kembang elok kembangan selatan
6186,semawis toko,peterongan semarang toko mataram 942 rw 5
6201,dpw partai perindo prov sulut,dpw parfum perintis provinsi sulut sambel ratulangi ranotana
6220,masjid ath thohiriyah,masjid athfal thohiriyah 
6222,perum.gelogor indah,pemogan perum g indah perum global notaris 53 80221
6238,deny's kitchen,dental kitchen blotongan
6252,toko afifah,toko afi tanjung duren raya tanjung duren selatan
6289,ade ponsel,ade pondok sulawesi 2 
6293,de herris,de herbal beli sumur bandung
6307,cofee nongkrong santai,cofee nongkrong sandal komplek perum cev mandau
6311,stage my fashion-ho,stage my fashio sambi raya tembalang
6324,lejel home shopping,lejel home shop bypass ngunan raihan pemogan denpasar selatan
6337,pt. baf tambun,pt baf tambal raya kalimantan tambun selatan
6360,malini agropark uluwatu,malang agro uluwatu 80363 kuta selatan
6389,shofia,sholeh m h thamrin 57 rw 2
6404,spot kamera malang,kebon agung spot kampus malang pakisaji
6406,bahkti ekonomi mumpuni glass,urip sumoharj notaris 172 bahari ekonomi mumpuni glass sido mulyo
6411,dinas pu binamarga dan pengairan muaraenim,dinas pu binamarga dan pengantin muara citra seputih raman 
6440,thuluz breeder kalkun sragen,thuluz breeder kaltim sragen sidoharjo
6443,smp negeri 3 maesaan,smp negeri 3 maestro
6444,aneka usaha. cv,aneka usa cv sambi 13 61219
6445,sangrai pelopor puyuh,sanggar pelopor puyuh ciracas
6469,mitra cellular,mitra cell ahmad yani 
6486,masjid al-muttaqin,masjid al muttaqin sultan sahara 
6492,meryin,merapi let suprapti cigadung subang
6496,calmer thai drinks,calmer thai driver s parfum kartoharjo
6499,waduk intake 3,waduk intrax 3 3 kalideres
6563,"pt. adira dinamika multi finance, tbk",pt adira dinamika multi finance tbk
6567,junior pkm pisang keju kopi shop milkshake,junior pkm pisang kejuruan kopi shop milkshake buana point
6574,masjid al-murod,masjid al m cicalengka cicalengka
6575,apotik semen gresik ii,dr wahidah s h 39 apotek semen gresik ii 
6622,pertokoan pasar raya parung,haji mawi 257 parung pertokoan pasar raya parfum parung
6635,pdam asahan,pdam asa hamka kisaran barat kota
6636,toko diansyah,toko dian teweh tengah
6647,kamera cctv murah,kampus cctv murah jenderal ahmad yani kuripan banjarmasin timur
6675,talents by herman coa,talenta by herman coa daksa 4 notaris 1 rw 2 kebayoran baru
6713,mitra andara payment,mitra and payment kasoem kulon sindang sari
6716,smp negeri 3 maniamolo,smp negeri 3 mania aramo
6756,mie ayam pakdhe,mie ayam pak cak cilincing barat 
6790,sunari cellular mengwi,sun cell menara i gusti ngurah raihan kuta
6804,kuburan kedo'an,kuburan kedo
6828,aldric cell,aldian cell raya pandeglang baros
6850,perbendaharaan dan kas negara,perbendaharaan dan kasoem negeri ahmad yani 
6860,rosmailis,rosma pasar raya kampung jao
6897,haisen depot makan,haikal depot makan pulau laut utara
6907,toko muslimah,toko muslimat binjaya pura batu malenggang
6908,agen moreskin nasa majalengka.087831322566,agen more nasa majalengka 08 raya kerta kertajati
6932,pijat refleksi & bekam - pamulang,villa pamulang notaris cf1 10 pijat refleksi bekam pamulang bakti jaya pamulang
6945,cv. berkah artha,orch boulevard notaris b 25 cv berkah artha
6959,praktek drg. gustina pasca,praktek drg gustina pasca jl catatan 2 
6975,ramainya pasar malam,rama pasar malam ahmad yani 
6987,agen minyak kutus kutus cirebon,agen minang kutus kutus cirebon raya pleret 
7010,"notaris primarini haryanti, sh",notaris prima haryanti sh mawar 
7013,bank danamon,bank dana embhul malang genteng tegalsari
7025,outdoor gear-ho,outdoor gear ho tanah merdeka
7035,polsek sitinjau laut,polsek siti laut 
7036,vihara buddha guna karawang,vihara buddha guna karaoke lingkar karaoke naga sari karawang barat
7068,al-azhar,al a mayora bambang sugeng bumireso
7107,al - tayyab carpets,al tayyab carpets gabus 
7108,seroja motor,servis motor palembang semi cibodas
7132,citila,cit r suprapti tembesi
7143,indocement tunggal prakarsa pt tbk,indocement tunggal praktek pt tbk nilam timur pabean cantikan
7172,t&zphonsel,t zphonsel 
7182,baja karya marine,baja karya market mayora sutoyo s 
7186,woloan permai. cv,woloan permata cv tomohon barat
7188,centro elektronik,center elektronik mare raya medan marelan
7196,al prof valasindo. pt,al prof valasindo pt taman palembang mutiara cengkareng timur cengkareng
7198,situ dewa dewi cipi'it,situ dewa dewi ci jampang tengah
7227,toko marimoro,toko mari gunung agung 
7243,pura agung nararya dalem benculuk tegeh kori,pura agung nararya dalem bencana tegeh kori sultan salah
7255,kerapatan gereja protestan minahasa indonesia,kerapatan gereja protestan mina indonesia krida 3 notaris 65 95162 malalayang
7297,toko komputer,toko komplek pangeran antasari masigit
7302,toko neneng,toko nen haji makassar 
7309,cantigi,cantique padang 
7324,khanza cell,kha cell pucak 
7345,ai-isuzu sales operation pt,ai i sales operation pt ciputra molek v ciputat timur
7360,bri cabang saganten,bri cabang saga samudra 
7384,primer koperasi karyawan perum perhutani kph parengan,prima koperasi karyawan perum perhutani kph parengan teuku umar bojonegoro
7385,ketupat sayur lintau,ketupat sayur lintas pasir putih 9
7387,pasar ternak bojongkokosan,raya parfum kuda 8 pasar terang bojongkokosan parungkuda
7402,warung rujak cingur bu mur,warung rujak cinere bu mur kolombo sugi
7424,sahefa,sahara gajah mada 
7432,karangan bunga papan,karaoke bunga papan bhakti 75311 bontang utara
7450,chombat cell,chom cell pemalang tegal pkl barat
7518,ayam penyet djogja,ayam penyet djo kota langgeng sumut 
7529,brilian. tb,jepara notaris km 12 brilink tb mlonggo
7549,pancong bro,pancing bro kebon pala 1 notaris 34 rta 4 6 jatinegara
7553,kios ibu elyani,kios ibu ely tambang tambang
7558,bangunan cipta karya perkasa pt,taman palembang lestari 8 bang cipta karya perkasa pt rta 13 rw 8 cengkareng barat
7586,mis islamiyah sayang,mis islam sayang prof muhammad yamin 
7592,warteg dua putri,kolaka enjo martadi iii notaris 2 warung dua putri kedungbadak tanah sereal
7599,sd kecil bomban,sd kecil bom 
7611,kantor camat sanggalangi,kantor camat sangga kelurahan pa paelean
7614,toko sparta,toko spa lawu karanganyar
7615,sac nusantara. pt,h r rasuna said notaris b 10 sac nusantara pt rw 1
7617,yas teknik,yasmin teknik lumbudolo utara raya bojong rawalumbu
7685,cv. patriot sejati,cv patriot sejati gayam
7686,bkk sarang,bkk sarana bancar bancar
7688,mas falahiyah kisaran,masjid falah kisamaun imam bon 
7691,warung sarapan pagi azahra,warung sarapan pagi aza green land house teluk tering batam kota
7694,tradana dwi benua,k h ahmad dahlia notaris 39 trading dwi benua turangga
7699,pt. wanda maharani,pt wanda maharani perintis kemerdekaan
7706,imperial kitchen & dim,imperial kitchen dimsum ujung menteng
7719,sdn kemirirejo 2 magelang,tentrem pelangi notaris 110 sdn kemiri 2 magelang magelang tengah
7751,senayan city lantai lg unit l-06b1,jl asia afriza lot 19 gelora sena city lantai lg unit l 06b1 rta 1 3 tanah abang
7752,sentral ponsel,pulau legu notaris 212 sentosa ponsel 
7760,4g centre,4g center godong gamping
7772,gloria fotokopi,sungai raya global fotokopi adi suci notaris 15
7819,"itc depok, lan dasar",itc depok lantai dasar margonda raya 56 depok pancoran masjid
7831,madrasah darut tauhid,madrasah darut taufiq raya kedungdung kedungdung
7834,warung cartil abu,warung car abu 
7845,rm langit biru,rm lantai biru sutan syahira 5 ilir ilir timur ii
7855,alfamidi,alfamart jl perintis kemerdekaan paccerakkang biring kanaya
7858,warung nasi purple,warung nasi pur ikan tom barat lowokwaru
7879,kantor lurah tanjung sungkur,kantor lurah tanjung sung 
7885,cherish cake & bakery,jenderal ahmad yani notaris a5 5 cherish cake bakery 
7889,tokkyu restaurant,jenderal gatot subroto notaris 42 tok restaurant rw 2 kuningan barat
7903,losmen widya graha,los widya graha jenderal sudirman 
7910,sd negeri 8 gantung,sd negeri 8 ganteng jenderal ahmad yani gantung
7912,suryanto,suryati perum panca arga mertoyudan
7914,sps tunas bangsa,sps tunas ban planet dli playen
7925,rm my lil secret,rm my lilies second magelang purworejo 
7928,warkop son's family,warung son s family raya jakas jakarta setia
7938,dianasco percetakan,dian percetakan pahlawan revo pondok bambu
8013,toko bunga harapan indah-bunga papan harapan indah,toko bunga harapan indah bunga papan harapan indah kh noer ali notaris 56
8035,bengkel las listrik & karbit,pananjung bengkel las listrik karbit raya sorea notaris 191 40361 cangkuang
8052,musholla al-ikhlas,musholla al ikhlas dukuhwaru
8103,depan indoguna meat shop,petogogan depan indo meat shop cisang i 2a rta 10 rw 4 kebayoran baru
8104,majelis taklim al mubtadi'in,majelis taklim al mubtadi
8128,pemakaman umum u2 karyadadi,pemakaman umum u2 karya raya megah sakti karyadadi
8131,lintas sentralindo pt asuransi,lintas sentra pt asuransi rw 1 pradahkali kendal
8148,chandra dewi. cv,chandra dewi cv green land house teluk tering batam kota
8153,sophie paris,sop paris citayam parfum 17 16928
8173,pt. graha surya melati,pt graha surya melati golf barat sukamiskin
8177,panti asuhan ina tresia,panti asuhan ina tresno 
8195,sekolah menengah pertama negeri (smpn) 15 cirebon,sekolah menengah pertama negeri sm 15 cirebon pasuketan pekalipan lemahwungkuk
8197,mushalla az-zahrah,musholla az zahrah 28717
8207,warkop tanetea,warung tanetea ujung bulu
8222,chakra gypsum,cha gypsum trengguli
8261,"visia wahyuni pujiastuti, sh",visia wahyuni pujiastuti sh bantul
8292,agen gas elpiji sumbersari,agen gas elpiji sumber kepanjen gumuk masjid
8306,galery atm,galeri atm trikora wamena
8309,kebun bibit citarum harum,desa beber kebun bibit cita harum beber
8314,hukum keluarga islam uin sunan kalijaga,hukum keluarga islam uin sunan kali catur tunggal
8317,x-trem depok,margonda raya notaris 61a x t depok pancoran masjid
8318,sps bkb paud amanah bintaro,sps bkb paud amanah bintang haji alih bintaro
8349,pasar tanjun los r,jl kaltim 70 gunungsimping pasar tan los r rw 8 cilacap utara
8352,masjid al-huda,masjid al h kramat 
8393,masjid al-istiqamah,masjid al isti dukuh buran pakal
8397,pemakaman umum mangunharjo,pemakaman umum mangun poros mangun harjo purwodadi
8408,super plafon pvc jambi,super planet pvc jambi gajah mada tanjung pinang jambi timur
8414,phillips electric centre,philips electric centre laksamana malahayati telukbetung selatan
8441,toko sepeda dwi indah,toko sepatu dwi indah tua tambahan 
8453,"dinas sumber daya air, pertambangan dan energi pemerintah kabupaten bandung",dinas sumber daya air pertambangan dan energi pemerintah kabupaten bandung 
8475,kios jamu serbuk berkhasiat,kios jamu servis berkhasiat joyo suka kalibaru
8487,"lely siombo, sh., m.kn",perintis kembar lely siombo sh m kn p a i biring kanaya
8488,smkn 1 purwoasri,smkn 1 purworejo mranggen
8519,muhammad nasrun,muhammad nasgor sabill citeureup citeureup
8535,rumah kost pelajar putri bu ning,rumah kost pelangi putri bu ning kolaka sugi 
8562,namimah,nami tgh ibrahim kholila 
8567,akademi kebidanan bhakti putra bangsa purworejo,akademi kebidanan bhakti putra ban purworejo soekarno hatta
8578,warkop zirfik 1,warung zirfik 1 cisarua
8614,albert dan alberta salon,albert dan albert salon palembang puri i 
8623,lembaga pers mahasiswa sastra lpms ideas,jawa notaris 121 lembaga persada mahasiswa sastra lpms ideas sumber sari
8647,d'port cinta,d p cinta 
8648,bakso supra dinasty,bakso supra dina h o s cokroaminoto ubung kaja
8655,bank jabar banten,bank jabar ban jatiwangi
8666,variety dept store,kh agus salim 124 variasi dept store klojen
8673,kios n komari,kios n komang jenderal sudirman bantul
8692,barcad kursus,barcad kurnia bar baros
8721,7-eleven,7 el man besar raya 
8737,analog couple,analog course raja notaris d3 8
8747,masjid an-nur melikan city,masjid an melikan city rejo sari
8755,kantor pertanahan kabupaten mimika,kantor pertanahan kabupaten mim center mimika baru
8763,finansia multi finance pt,finance multi finance pt angsau pelaihari
8772,yongfa machinery,yon machinery bande pekojan
8773,kawati,kaw desa penu 
8808,sekar pandan,sekar pantai basuki rahayu tompokersan lumajang
8809,j&t express,j t express cempaka ix notaris 1 mawar
8813,one cellular,one cell teluk gong selatan 1 penjaringan
8817,stadion ajah padang bistro,stadion ajah padang bisnis boulevard ahmad yani bekasi utara
8818,pesantren al fattah,pesantren al fat raya pacitan p tegalombo
8826,ogawa - artha gading,ogawa artha gading kelapa gading
8858,smp al-hidayah,smp al hidayah raya wonosari kendal
8880,lpk nasional,lpk nasi 
8932,mushalla raudhatun najah,musholla raudhatul najah gampong jawa
8933,sd negeri cikuda 02,sd negeri cik 02 cicadas
8958,toko bangunan mohon jaya,toko bang mohon jaya karaoke buayan
8978,masjid hidayatullah,masjid hidayat 
8985,masjid al-falaah,masjid al falaah raya kut 148 41358
8986,masjid al-mustaqim,masjid al muslim 
8999,data komputer,data komplek pepaya gading cempaka
9013,taman impian kangean,taman impian kang
9019,dewata salon tanggul,dewata salon tang urip sumoharj tanggul kulon tanggul
9039,de'lucky cukur,de l cukur raya salero margalaksana salawu
9053,bengkel las pulosari,bengkel las pulo kesat notaris 119 rw 5
9070,sanur business centre,sanur business center bypass ngunan raihan sanur denpasar selatan
9073,satuan koordinasi cabang banser,satria koordinasi cabang banser
9083,villa dareen puncak,citra villa dar puncak
9091,musholla al-ikhlas,musholla al ikhlas vila masjid indah bekasi utara
9113,my violet collection,duku notaris 12d my vio collection marpoyan damai
9122,same hotel kendari-ho,same hotel kendari edi sablon mandonga
9125,toshiba asia pacific pte. ltd.,toshiba asia pacific pte ltd 
9142,balai desa situgede,balai desa situ situgede subang
9175,new station at buaran,new station at bua rawa sumur 4 jatinegara cakung
9197,astari karya. cv,astuti karya cv sendang gowo utara iii
9208,ayam geprek mister dower,tanjung pura ayam geprek mis dower indramayu
9217,warung makan nur rohmat,warung makan nur rohman 
9246,p. yopi ismail,p yopi ismail slamet riyadi kartoharjo
9250,tk raudhatul rahman,tk raudhatul rahayu seruway
9260,penginapan boe tomo,bugis penginapan boezha tomohon durian i notaris 15 tanjung redeb
9302,mas attaufiq,masjid attaqwa berkah timur lor pasanggar pegantenan
9313,sdn pusakajaya selatan iii,sdn pusaka selatan iii cilebar
9314,smp al mas'udiah,smp al masjid u taman holis indah bandung kulon
9320,blessing garmen,blessing garden golf timur iii arcamanik
9344,perum bekasi timur regensi,bekasi timur regency iii notaris 12a padurenan perum bekasi timur regency rta 4 6
9346,bakmi kempot,bakmi kembar gajah mada glodok
9351,station cellular,station cell pempek kober purwokerto barat
9370,sukma fotocopy,sukma foto
9384,barata dewata asri,bar dewata asri sedap malam kesiman
9389,dokter juzi delianna,dokter juzi deli h sai 
9437,musholla al-muttaqin.,musholla al muttaqin brangsong
9444,ra wardatul quran,ra wardana quran 
9446,kebun benih labruk 1,kebun benih lab 1 slamet wardana 
9463,drh. felicia wilma tapilaha,sederhana notaris 27 drh felicia wilma tapilaha sukajadi
9465,palma bed & breakfast,palma bed break danav batur 
9487,cv. transindo citra utama,buah batu residence notaris 29 cv trans citra utama kujangsari
9511,sd negeri talaga,sd negeri talang raya mancak kadu agung gunungsari
9524,balai desa mentikan,balai desa mentari cakar gang 2 mentikan prajurit kulon
9535,pd. andalanku,pd andalusia nagari pasirjati ujung berung
9557,pisang tanduk goreng,pisang tan goreng pempek pulo gadung
9567,tk al-muawanah,tk al mua aliantan
9584,mcdonald's,mcdonald jenderal basuki rahayu klojen
9594,pt. oranye patria wisata,condet raya 11 pt orange patrol wisata rw 5 pasar rebo
9598,motorindo nirmala pt,warung jati barat notaris 494ab motor nirmala pt rw 5
9603,cimerah,cimenyan raya barat singaparna
